Make,Model,Year,Miles,Price
Toyota,Camry,2017,35000,18000
Honda,Civic,2015,50000,15000
Ford,Fusion,2016,40000,16000
Chevrolet,Impala,2014,60000,14000
Nissan,Altima,2018,25000,20000
Hyundai,Elantra,2017,30000,18000
Volkswagen,Passat,2016,38000,17000
BMW,3 Series,2016,55000,25000
Mercedes-Benz,C-Class,2017,20000,30000
Audi,A4,2015,45000,28000
Subaru,Legacy,2015,40000,17000
Mazda,Mazda6,2016,35000,16000
Kia,Optima,2014,55000,14000
Chevrolet,Malibu,2016,40000,17000
Ford,Mustang,2013,75000,22000
Toyota,Corolla,2015,40000,15000
Honda,Accord,2014,70000,14000
Nissan,Maxima,2015,40000,19000
Hyundai,Sonata,2016,45000,16000
Volkswagen,Jetta,2014,55000,15000
BMW,5 Series,2014,60000,28000
Mercedes-Benz,E-Class,2016,28000,35000
Audi,A6,2013,65000,22000
Subaru,Impreza,2015,38000,16000
Mazda,CX-5,2016,35000,18000
Kia,Soul,2014,50000,13000
Chevrolet,Equinox,2016,30000,19000
Ford,Escape,2014,55000,17000
Toyota,Rav4,2015,40000,20000
Honda,CR-V,2016,35000,22000
Nissan,Rogue,2014,55000,18000
Hyundai,Tucson,2016,40000,16000
Volkswagen,Tiguan,2014,60000,23000
BMW,X3,2015,45000,30000
Mercedes-Benz,GLC,2017,28000,35000
Audi,Q5,2016,35000,32000
Subaru,Forester,2015,40000,19000
Mazda,CX-9,2016,35000,22000
Kia,Sorento,2014,55000,17000
Chevrolet,Traverse,2016,30000,23000
Ford,Explorer,2014,60000,28000
Toyota,Highlander,2015,40000,32000
Honda,Pilot,2016,35000,28000
Nissan,Pathfinder,2014,55000,22000
Hyundai,Santa Fe,2016,40000,25000
Volkswagen,Touareg,2014,60000,32000
BMW,X5,2015,45000,35000
Mercedes-Benz,GLS,2016,35000,40000
Audi,Q7,2014,55000,38000
Subaru,Outback,2016,40000,22000
Mazda,MX-5,2015,35000,28000
Kia,Stinger,2018,20000,30000
Chevrolet,Camaro,2017,30000,27000
Ford,GT,2017,15000,65000
Toyota,Supra,2016,38000,60000
Honda,NSX,2014,56000,55000
Nissan,GTR,2015,42000,70000
Hyundai,Veloster,2013,70000,12000